date,O/N,1M,3M,6M
2022-07-11,6.118,5.89895,5.11099,3.84614
2022-07-12,6.156,5.90676,5.13149,3.87091
2022-07-13,6.201,5.94196,5.15368,3.89612
2022-07-14,6.332,5.96162,5.1766,3.92132
2022-07-15,6.243,5.98526,5.2004,3.93524
2022-07-18,6.171,6.02172,5.23626,4.02329
2022-07-19,6.156,6.02738,5.29091,4.04805
2022-07-20,6.16,6.07872,5.31369,4.07261
2022-07-21,6.151,6.1035,5.33445,4.09751
2022-07-22,6.3,6.12152,5.3562,4.10948
2022-07-25,6.576,6.17398,5.42964,4.19866
2022-07-26,6.371,6.18762,5.45715,4.22537
2022-07-27,6.372,6.24635,5.48226,4.25017
2022-07-28,6.346,6.26889,5.50459,4.27529
2022-07-29,6.638,6.29318,5.52772,4.2874
2022-08-01,6.785,6.33535,5.61482,4.38476
2022-08-02,6.692,6.35054,5.62858,4.41288
2022-08-03,6.597,6.36202,5.64103,4.43945
2022-08-04,6.557,6.37926,5.67764,4.46514
2022-08-05,6.341,6.39,5.70042,4.47743
2022-08-08,6.278,6.38794,5.73622,4.56708
2022-08-09,6.263,6.38557,5.76916,4.59267
2022-08-10,6.329,6.38292,5.78488,4.61632
2022-08-11,6.301,6.37677,5.80109,4.63981
2022-08-12,6.396,6.3827,5.81718,4.64974
2022-08-16,6.466,6.39967,5.88507,4.75858
2022-08-17,6.561,6.40278,5.90284,4.78232
2022-08-18,6.564,6.42127,5.92171,4.80612
2022-08-19,6.366,6.43402,5.94003,4.81663
2022-08-22,6.262,6.45437,5.96731,4.90138
2022-08-23,6.195,6.44943,6.00391,4.92397
2022-08-24,6.138,6.44279,6.01852,4.947
2022-08-25,6.105,6.44459,6.03191,4.96849
2022-08-26,6.149,6.42931,6.04325,4.97556
2022-08-29,6.166,6.40839,6.0584,5.03815
2022-08-30,6.584,6.40187,6.09712,5.04516
2022-08-31,6.52,6.40851,6.11531,5.05443
2022-09-01,6.657,6.38763,6.12964,5.07865
2022-09-02,6.649,6.38348,6.14388,5.10163
2022-09-05,6.564,6.38664,6.17326,5.156
2022-09-06,6.579,6.39329,6.20607,5.16449
2022-09-07,6.599,6.40004,6.22215,5.21735
2022-09-08,6.559,6.41006,6.2394,5.24072
2022-09-09,6.531,6.41917,6.25566,5.26365
2022-09-12,6.414,6.44176,6.27363,5.30948
2022-09-13,6.35,6.44199,6.29466,5.31635
2022-09-14,6.518,6.44029,6.30278,5.35642
2022-09-15,6.586,6.44369,6.31263,5.3755
2022-09-16,6.659,6.45118,6.3167,5.39467
2022-09-19,6.722,6.46358,6.33952,5.44133
2022-09-20,6.637,6.47281,6.36805,5.44921
2022-09-21,6.518,6.47893,6.38148,5.4911
2022-09-22,6.54,6.48895,6.39148,5.50957
2022-09-23,6.417,6.49797,6.40171,5.52802
2022-09-26,6.46,6.52423,6.41332,5.56955
2022-09-27,6.376,6.52334,6.43709,5.57532
2022-09-28,6.436,6.51998,6.44457,5.62118
2022-09-29,6.447,6.55108,6.45357,5.64021
2022-09-30,6.144,6.5602,6.45776,5.65923
2022-10-03,6.794,6.51699,6.4517,5.69434
2022-10-04,6.714,6.52683,6.46021,5.73751
2022-10-05,6.687,6.51857,6.4656,5.75595
2022-10-06,6.595,6.52269,6.47036,5.77399
2022-10-07,6.46,6.52322,6.47362,5.79013
2022-10-10,6.554,6.51447,6.47482,5.81119
2022-10-11,6.587,6.51684,6.4757,5.83856
2022-10-12,6.568,6.51552,6.48088,5.85155
2022-10-13,6.577,6.52068,6.48543,5.86509
2022-10-14,6.579,6.52829,6.48959,5.87879
2022-10-17,6.602,6.5327,6.49642,5.90172
2022-10-18,6.45,6.53601,6.5037,5.90654
2022-10-19,6.412,6.5185,6.50678,5.94532
2022-10-20,6.339,6.50812,6.50961,5.95827
2022-10-21,6.349,6.49813,6.51158,5.96977
2022-10-24,6.311,6.48263,6.51246,5.98789
2022-10-25,6.304,6.47836,6.51498,6.01961
2022-10-26,6.289,6.47646,6.51197,6.03199
2022-10-27,6.318,6.47073,6.51107,6.04421
2022-10-28,6.733,6.46879,6.51047,6.0552
2022-10-31,6.505,6.49725,6.52171,6.07845
2022-11-02,6.741,6.53219,6.51227,6.11662
2022-11-03,6.782,6.54009,6.51281,6.12112
2022-11-04,6.773,6.5397,6.51485,6.14286
2022-11-07,6.816,6.55005,6.52502,6.17297
2022-11-08,6.805,6.55955,6.53202,6.17757
2022-11-09,6.875,6.56817,6.53784,6.20104
2022-11-10,6.586,6.58636,6.54461,6.21246
2022-11-14,6.564,6.58801,6.5536,6.24475
2022-11-15,6.407,6.58841,6.55487,6.24759
2022-11-16,6.391,6.58403,6.55676,6.26955
2022-11-17,6.35,6.57596,6.55593,6.27816
2022-11-18,6.31,6.56779,6.5536,6.28657
2022-11-21,6.342,6.55889,6.54787,6.30366
2022-11-22,6.317,6.55322,6.5493,6.30496
2022-11-23,6.315,6.54716,6.5499,6.32647
2022-11-24,6.3,6.55663,6.55123,6.33456
2022-11-25,6.326,6.55628,6.55302,6.34228
2022-11-28,6.318,6.55834,6.55278,6.35686
2022-11-29,6.683,6.55193,6.56124,6.35775
2022-11-30,6.62,6.55707,6.56695,6.3825
2022-12-01,6.634,6.53978,6.56669,6.39742
2022-12-02,6.626,6.54407,6.56644,6.40457
2022-12-05,6.533,6.53896,6.56567,6.41763
2022-12-06,6.602,6.5399,6.56532,6.43578
2022-12-07,6.632,6.5163,6.56558,6.44413
2022-12-08,6.569,6.51013,6.56595,6.45313
2022-12-09,6.393,6.50223,6.56606,6.4615
2022-12-12,6.396,6.48232,6.56144,6.46735
2022-12-13,6.377,6.48081,6.56123,6.47898
2022-12-14,6.431,6.4599,6.56154,6.48329
2022-12-15,6.427,6.45545,6.56056,6.48783
2022-12-16,6.34,6.45612,6.55879,6.48863
2022-12-19,6.309,6.45137,6.54811,6.49471
2022-12-20,6.367,6.448,6.54349,6.50752
2022-12-21,6.322,6.45695,6.54048,6.51286
2022-12-22,6.326,6.45628,6.53829,6.51686
2022-12-23,6.339,6.45658,6.5359,6.52088
2022-12-27,6.296,6.45314,6.5319,6.53694
2022-12-28,6.317,6.45845,6.53101,6.54031
2022-12-29,6.231,6.45842,6.52968,6.54423
2022-12-30,5.347,6.44327,6.52727,6.54516
2023-01-02,6.268,6.32573,6.50058,6.52887
2023-01-03,6.368,6.32498,6.49915,6.52859
2023-01-04,6.461,6.32735,6.49445,6.5302
2023-01-05,6.394,6.30053,6.49166,6.53152
2023-01-09,6.309,6.27567,6.4864,6.53243
2023-01-10,6.367,6.27776,6.48304,6.53235
2023-01-11,6.384,6.28152,6.48097,6.53123
2023-01-12,6.367,6.27192,6.47873,6.53272
2023-01-13,6.396,6.27098,6.47651,6.53391
2023-01-16,6.332,6.26934,6.47504,6.53573
2023-01-17,6.345,6.27235,6.46774,6.53576
2023-01-18,6.434,6.27561,6.4649,6.53729
2023-01-19,6.365,6.2724,6.46473,6.53877
2023-01-20,6.354,6.27422,6.46421,6.53994
2023-01-23,6.384,6.27563,6.4642,6.54226
2023-01-24,6.371,6.28008,6.46487,6.54255
2023-01-25,6.552,6.2839,6.46553,6.54334
2023-01-26,6.455,6.29288,6.46827,6.54321
2023-01-27,6.376,6.28901,6.4701,6.54368
2023-01-30,6.704,6.29811,6.47092,6.54408
2023-01-31,6.604,6.31192,6.46254,6.54613
2023-02-01,6.581,6.41654,6.46204,6.54258
2023-02-02,6.524,6.42297,6.46449,6.54143
2023-02-03,6.519,6.43127,6.46209,6.54049
2023-02-06,6.5,6.44158,6.46269,6.54087
2023-02-07,6.481,6.44446,6.45057,6.54181
2023-02-08,6.531,6.44665,6.44687,6.54252
2023-02-09,6.585,6.45291,6.44384,6.54394
2023-02-10,6.616,6.46186,6.44064,6.54574
2023-02-13,6.457,6.48541,6.44957,6.55064
2023-02-14,6.468,6.48564,6.44024,6.55129
2023-02-15,6.553,6.48622,6.43918,6.552
2023-02-16,6.516,6.49493,6.4408,6.552
2023-02-17,6.434,6.50089,6.44218,6.55228
2023-02-20,6.431,6.50591,6.44511,6.55134
2023-02-21,6.462,6.50468,6.44718,6.55184
2023-02-22,6.408,6.5045,6.4485,6.55213
2023-02-23,6.337,6.51377,6.44951,6.55295
2023-02-24,6.313,6.51224,6.44975,6.55374
2023-02-27,6.736,6.4979,6.44914,6.55569
2023-02-28,6.683,6.5065,6.45414,6.55786
2023-03-01,6.57,6.51153,6.45151,6.56194
2023-03-02,6.454,6.51114,6.45078,6.56144
2023-03-03,6.415,6.50863,6.45195,6.562
2023-03-06,6.542,6.49743,6.44275,6.55681
2023-03-07,6.543,6.49894,6.44207,6.5566
2023-03-08,6.563,6.50117,6.44107,6.55628
2023-03-09,6.641,6.50231,6.441,6.5563
2023-03-10,6.416,6.50432,6.44436,6.55796
2023-03-13,6.566,6.4828,6.44455,6.55563
